
 time                     | druckrack
--------------------------+-----------
 2016-08-14 22:15:00+0000 |   1.54191
 2016-08-14 22:45:00+0000 |   1.53183
 2016-08-14 23:15:00+0000 |   1.53708
 2016-08-14 23:45:00+0000 |   1.53832
 2016-08-15 00:15:00+0000 |   1.52657
 2016-08-15 00:45:00+0000 |   1.54621
 2016-08-15 01:15:00+0000 |   1.52099
 2016-08-15 01:45:00+0000 |    1.5351
 2016-08-15 02:15:00+0000 |   1.53483
 2016-08-15 02:45:00+0000 |   1.52155
 2016-08-15 03:15:00+0000 |   1.53833
 2016-08-15 03:45:00+0000 |   1.53357
 2016-08-15 04:15:00+0000 |   1.51458
 2016-08-15 04:45:00+0000 |   1.52995
 2016-08-15 05:15:00+0000 |   1.54192
 2016-08-15 05:45:00+0000 |   1.51447
 2016-08-15 06:15:00+0000 |   1.52422
 2016-08-15 06:45:00+0000 |   1.53581
 2016-08-15 07:15:00+0000 |    1.5376
 2016-08-15 07:45:00+0000 |   1.51322
 2016-08-15 08:15:00+0000 |   1.53212
 2016-08-15 08:45:00+0000 |   1.53223
 2016-08-15 09:15:00+0000 |   1.52532
 2016-08-15 09:45:00+0000 |   1.54219
 2016-08-15 10:15:00+0000 |   1.51877
 2016-08-15 10:45:00+0000 |   1.53675
 2016-08-15 11:15:00+0000 |   1.52595
 2016-08-15 11:45:00+0000 |   1.53286
 2016-08-15 12:15:00+0000 |    1.5279
 2016-08-15 12:45:00+0000 |    1.5321
 2016-08-15 13:15:00+0000 |   1.53291
 2016-08-15 13:45:00+0000 |   1.53064
 2016-08-15 14:15:00+0000 |    1.5306
 2016-08-15 14:45:00+0000 |   1.53106
 2016-08-15 15:15:00+0000 |    1.5319
 2016-08-15 15:45:00+0000 |   1.53076
 2016-08-15 16:15:00+0000 |   1.53379
 2016-08-15 16:45:00+0000 |   1.52863
 2016-08-15 17:15:00+0000 |   1.53581
 2016-08-15 17:45:00+0000 |   1.52275
 2016-08-15 18:15:00+0000 |   1.53831
 2016-08-15 18:45:00+0000 |   1.51553
 2016-08-15 19:15:00+0000 |   1.53201
 2016-08-15 19:45:00+0000 |   1.51749
 2016-08-15 20:15:00+0000 |   1.51757
 2016-08-15 20:45:00+0000 |   1.53009
 2016-08-15 21:15:00+0000 |   1.52996
 2016-08-15 21:45:00+0000 |   1.50493
 2016-08-15 22:15:00+0000 |    1.5178
 2016-08-15 22:45:00+0000 |   1.52648
 2016-08-15 23:15:00+0000 |   1.53325
 2016-08-15 23:45:00+0000 |   1.50673
 2016-08-16 00:15:00+0000 |   1.50677
 2016-08-16 00:45:00+0000 |   1.51897
 2016-08-16 01:15:00+0000 |   1.52717
 2016-08-16 01:45:00+0000 |   1.49516
 2016-08-16 02:15:00+0000 |   1.50996
 2016-08-16 02:45:00+0000 |   1.52102
 2016-08-16 03:15:00+0000 |   1.51848
 2016-08-16 03:45:00+0000 |   1.49357
 2016-08-16 04:15:00+0000 |   1.51109
 2016-08-16 04:45:00+0000 |   1.50641
 2016-08-16 05:15:00+0000 |   1.50149
 2016-08-16 05:45:00+0000 |   1.51504
 2016-08-16 06:15:00+0000 |   1.49418
 2016-08-16 06:45:00+0000 |   1.51691
 2016-08-16 07:15:00+0000 |   1.49618
 2016-08-16 07:45:00+0000 |   1.51345
 2016-08-16 08:15:00+0000 |    1.5024
 2016-08-16 08:45:00+0000 |   1.51004
 2016-08-16 09:15:00+0000 |   1.51452
 2016-08-16 09:45:00+0000 |   1.50393
 2016-08-16 10:15:00+0000 |   1.51796
 2016-08-16 10:45:00+0000 |   1.50299
 2016-08-16 11:15:00+0000 |   1.51817
 2016-08-16 11:45:00+0000 |   1.50615
 2016-08-16 12:15:00+0000 |   1.51321
 2016-08-16 12:45:00+0000 |   1.51536
 2016-08-16 13:15:00+0000 |   1.50862
 2016-08-16 13:45:00+0000 |   1.51484
 2016-08-16 14:15:00+0000 |   1.51366
 2016-08-16 14:45:00+0000 |   1.50963
 2016-08-16 15:15:00+0000 |   1.52288
 2016-08-16 15:45:00+0000 |    1.5072
 2016-08-16 16:15:00+0000 |   1.51495
 2016-08-16 16:45:00+0000 |   1.51184
 2016-08-16 17:15:00+0000 |   1.51507
 2016-08-16 17:45:00+0000 |   1.51493
 2016-08-16 18:15:00+0000 |   1.50314
 2016-08-16 18:45:00+0000 |   1.51618
 2016-08-16 19:15:00+0000 |   1.49972
 2016-08-16 19:45:00+0000 |   1.50405
 2016-08-16 20:15:00+0000 |   1.50563
 2016-08-16 20:45:00+0000 |   1.49862
 2016-08-16 21:15:00+0000 |   1.50481
 2016-08-16 21:45:00+0000 |   1.49865
 2016-08-16 22:15:00+0000 |   1.50059
 2016-08-16 22:45:00+0000 |   1.50524
 2016-08-16 23:15:00+0000 |   1.49149
 2016-08-16 23:45:00+0000 |   1.51027
 2016-08-17 00:15:00+0000 |   1.48509
 2016-08-17 00:45:00+0000 |   1.50377
 2016-08-17 01:15:00+0000 |   1.48949
 2016-08-17 01:45:00+0000 |   1.49495
 2016-08-17 02:15:00+0000 |   1.50873
 2016-08-17 02:45:00+0000 |   1.48508
 2016-08-17 03:15:00+0000 |   1.49203
 2016-08-17 03:45:00+0000 |    1.5049
 2016-08-17 04:15:00+0000 |   1.48483
 2016-08-17 04:45:00+0000 |   1.48644
 2016-08-17 05:15:00+0000 |    1.5003
 2016-08-17 05:45:00+0000 |   1.49397
 2016-08-17 06:15:00+0000 |   1.48144
 2016-08-17 06:45:00+0000 |   1.49522
 2016-08-17 07:15:00+0000 |   1.50497
 2016-08-17 07:45:00+0000 |   1.47549
 2016-08-17 08:15:00+0000 |   1.48959
 2016-08-17 08:45:00+0000 |   1.50274
 2016-08-17 09:15:00+0000 |   1.47889
 2016-08-17 09:45:00+0000 |   1.48999
 2016-08-17 10:15:00+0000 |   1.50037
 2016-08-17 10:45:00+0000 |   1.48078
 2016-08-17 11:15:00+0000 |   1.50136
