datum;tag;warengruppe;name;kennz;preis;stud;bed;gast
12.12.2016;Mo;Suppe;Frühlingszwiebel - Süppchen (3,A,G,I);V;0,60 / 0,80 / 1,30;0,60;0,80;1,30
12.12.2016;Mo;HG1;Penne  italienisch mit Champignon (A,C,G);V;1,90 / 2,70 / 3,50;1,90;2,70;3,50
12.12.2016;Mo;HG2;Pfannengyros mit Pommes und Tzaziki (8,G);S;3,00 / 3,80 / 4,50;3,00;3,80;4,50
12.12.2016;Mo;HG3;Schweine Hütten Cordon Bleu (3,8,A,C,G,I);S;3,00 / 3,80 / 4,00;3,00;3,80;4,00
12.12.2016;Mo;B1;Penne Rigate (A);V;0,60 / 0,80 / 1,30;0,60;0,80;1,30
12.12.2016;Mo;B2;Mischsalat;V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B3;Kartoffel-Gurkensalat (3,16,I,J);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B4;Erbsen-Paprikasalat (16);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B5;Bunte Butterkarotten (G);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B6;Pommes frites Wellenschnitt (8);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B7;Gurkencocktail (16,G);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
12.12.2016;Mo;B8;Salat Buffet (3,6,16,G,L);;3,00 / 3,50 / 4,20;3,00;3,50;4,20
12.12.2016;Mo;N1;Sauerkirschquark (G);V;0,70 / 0,90 / 1,30;0,70;0,90;1,30
12.12.2016;Mo;N2;Bio Schokoladenpudding (G);B,V;0,80 / 1,00 / 1,40;0,80;1,00;1,40
12.12.2016;Mo;N3;Cappuccinomousse (G);V;1,00 / 1,30 / 1,50;1,00;1,30;1,50
13.12.2016;Di;Suppe;Nudelsuppe (3,A,C,I);V;0,60 / 0,80 / 1,30;0,60;0,80;1,30
13.12.2016;Di;HG1;Minirösti mit Bohnen (3,I);V;1,90 / 2,70 / 3,50;1,90;2,70;3,50
13.12.2016;Di;HG2;Chilli con Soja (VG) mit Baguette(V) (3,A,F,I);VG;2,70 / 3,30 / 4,30;2,70;3,30;4,30
13.12.2016;Di;HG3;Kasselerbraten mit Knödel (2,3,5,A,G,I,L,AA);S;3,00 / 3,80 / 4,50;3,00;3,80;4,50
13.12.2016;Di;B1;Sauerkraut (2,3,I);S;0,60 / 0,80 / 1,30;0,60;0,80;1,30
13.12.2016;Di;B2;Bio Fiocchi (A);B,VG;0,70 / 0,90 / 1,40;0,70;0,90;1,40
13.12.2016;Di;B3;Reiberknödel (2,3,5,A,L,AA);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
13.12.2016;Di;B4;Salat Rustika (16);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
13.12.2016;Di;B5;Krautsalat bunt (16);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
13.12.2016;Di;B6;Salatmix III;VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
13.12.2016;Di;B7;Salat Buffet (3,6,16,G,L);;3,00 / 3,50 / 4,20;3,00;3,50;4,20
13.12.2016;Di;N1;Stracciatellaquark (A,C,F,G);V;0,70 / 0,90 / 1,30;0,70;0,90;1,30
13.12.2016;Di;N2;Mango-Joghurt Mousse (F,G);V;0,80 / 1,00 / 1,40;0,80;1,00;1,40
